ticker,month_name,avg_monthly_return
AAPL,Jan,-0.27848504442402944
AAPL,Feb,0.14727132122043066
AAPL,Mar,-0.3860796494765482
AAPL,Apr,-0.09618323739766603
AAPL,May,-0.2408684763959702
AAPL,Jun,0.11274588657536277
AAPL,Jul,0.056795320855470365
AAPL,Aug,0.5552065467366873
AAPL,Sep,0.45675062791972143
AAPL,Oct,0.27101046137109785
AAPL,Nov,0.3813945589267404
AAPL,Dec,0.26099053023392615
BLK,Jan,0.2556201672749886
BLK,Feb,-0.4850054758049005
BLK,Mar,-0.1175340824766954
BLK,Apr,-0.09805593831090309
BLK,May,0.33833144036326296
BLK,Jun,0.3731726566564447
BLK,Jul,0.25464740147232534
BLK,Aug,0.09690617360055963
BLK,Sep,0.18880585313908196
BLK,Oct,-0.3082546402425194
BLK,Nov,0.17872493247083004
BLK,Dec,0.040632894775167946
META,Jan,0.8330221703620128
META,Feb,-0.15158617575002978
META,Mar,-0.6632890993823223
META,Apr,-0.12635540984874044
META,May,0.8153620690538774
META,Jun,0.6740796508932573
META,Jul,0.24589045963665263
META,Aug,-0.20469472897144297
META,Sep,-0.01889066163829122
META,Oct,-0.499655736784677
META,Nov,0.14521214156535708
META,Dec,0.11212305092665967
MSFT,Jan,-0.05559193754028913
MSFT,Feb,-0.21884159936987307
MSFT,Mar,-0.25373410397746965
MSFT,Apr,0.28642317054207483
MSFT,May,0.7535324907939787
MSFT,Jun,0.3897602692192026
MSFT,Jul,0.32412607239860214
MSFT,Aug,-0.23256531960174923
MSFT,Sep,0.10951451266083334
MSFT,Oct,0.005380864988832008
MSFT,Nov,0.21868579049232895
MSFT,Dec,-0.01459919663909475
PYPL,Jan,0.20769223380083632
PYPL,Feb,-1.098142894009445
PYPL,Mar,-0.3797984224392444
PYPL,Apr,0.1157458677547225
PYPL,May,0.32160399668345374
PYPL,Jun,0.298498284238547
PYPL,Jul,-0.31908781350537285
PYPL,Aug,0.11108003735039147
PYPL,Sep,-0.20269068786092917
PYPL,Oct,0.18378440143164246
PYPL,Nov,0.5966797923923628
PYPL,Dec,-0.057943612730941584
SHOP,Jan,0.5186148215263298
SHOP,Feb,-0.17616021506109938
SHOP,Mar,-0.6697628508414963
SHOP,Apr,0.19709837786291262
SHOP,May,0.6448882794730696
SHOP,Jun,0.4012671665053757
SHOP,Jul,0.2923482369469013
SHOP,Aug,0.8148698476591483
SHOP,Sep,0.2716538081207198
SHOP,Oct,0.7245177363399493
SHOP,Nov,2.3011419859995437
SHOP,Dec,-0.3640523726291449
